Entidad/Municipio,Incidentes
Entidad/Municipio,Incidentes
Cadereyta,66
Garcia,79
Juarez,123
Gral. Zuazua,17
Monterrey,264
Santa Catarina,53
Gral. Escobedo,62
Montemorelos,9
Apodaca,76
Sabinas Hidalgo,5
Guadalupe,86
Galeana,5
San Pedro,13
San Nicolás,43
Linares,7
Dr. Arroyo,3
Allende,2
Santiago,2
Agualeguas,1
Anahuac,1
Aramberri,2
Carmen,19
Cerralvo,1
China,6
Cienega De Flores,27
Dr. Gonzalez,6
Gral. Bravo,3
Gral. Teran,2
Gral. Treviño,3
Lampazos De Naranjo,2
Los Ramones,1
Marin,8
Mier Y Noriega,1
Mina,1
Paras,2
Pesqueria,25
Salinas Victoria,38
Vallecillo,2
Villaldama,1